og	go	type	evidence
156081at2759	GO:0061959	P	IEA
156081at2759	GO:2001295	P	IEA
1579862at2759	GO:0016020	C	IEA
1579862at2759	GO:0016021	C	IEA
1593621at2759	GO:0000387	P	IBA
1593621at2759	GO:0005634	C	ISO
1593621at2759	GO:0005737	C	ISO
1593621at2759	GO:0005829	C	ISO
1593621at2759	GO:0032797	C	IBA
1593621at2759	GO:0034719	C	ISO
159407at2759	GO:0003676	F	IEA
159407at2759	GO:0031047	P	IEA
1602458at2759	GO:0016020	C	IEA
1602458at2759	GO:0016021	C	IEA
1602458at2759	GO:0016192	P	IEA
1606436at2759	GO:0005739	C	IEA
1606436at2759	GO:0005743	C	IEA
1606436at2759	GO:0005750	C	IEA
1606436at2759	GO:0006122	P	IEA
1606436at2759	GO:0016020	C	IEA
1606436at2759	GO:0070469	C	IEA
1612572at2759	GO:0003735	F	IEA
1612572at2759	GO:0005840	C	IEA
1612572at2759	GO:0006412	P	IEA
1612572at2759	GO:0110165	C	IEA
1622159at2759	GO:0046982	F	IEA
1635950at2759	GO:0005634	C	IEA
1635950at2759	GO:0006397	P	IEA
195455at2759	GO:0000272	P	IEA
195455at2759	GO:0003824	F	IEA
195455at2759	GO:0005576	C	IEA
195455at2759	GO:0005975	P	IEA
195455at2759	GO:0016829	F	IEA
195455at2759	GO:0030246	F	IEA
195455at2759	GO:0071555	P	IEA
195455at2759	GO:0102210	F	IEA
195455at2759	GO:1901575	P	IEA
204282at2759	GO:0000166	F	IEA
204282at2759	GO:0005524	F	IEA
204282at2759	GO:0016301	F	IEA
204282at2759	GO:0016303	F	IEA
204282at2759	GO:0016310	P	IEA
204282at2759	GO:0016740	F	IEA
204282at2759	GO:0036092	P	IEA
204282at2759	GO:0046854	P	IEA
204282at2759	GO:0048015	P	IEA
233419at2759	GO:0005524	F	IEA
233419at2759	GO:0016887	F	IEA
324473at2759	GO:0003824	F	IEA
324473at2759	GO:0003937	F	IEA
324473at2759	GO:0004643	F	IEA
324473at2759	GO:0006139	P	IEA
324473at2759	GO:0006164	P	IEA
324473at2759	GO:0006189	P	IEA
324473at2759	GO:0008152	P	IEA
324473at2759	GO:0016740	F	IEA
324473at2759	GO:0016787	F	IEA
327628at2759	GO:0015204	F	IEA
327628at2759	GO:0016020	C	IEA
327628at2759	GO:0016021	C	IEA
327628at2759	GO:0022857	F	IEA
327628at2759	GO:0055085	P	IEA
327628at2759	GO:0071918	P	IEA
345225at2759	GO:0005737	C	IEA
345225at2759	GO:0043229	C	IEA
356648at2759	GO:0008146	F	IEA
356648at2759	GO:0016740	F	IEA
357137at2759	GO:0005737	C	IEA
357137at2759	GO:0005856	C	IEA
357137at2759	GO:0005929	C	IEA
357137at2759	GO:0030030	P	IEA
357137at2759	GO:0042995	C	IEA
400911at2759	GO:0004044	F	IBA
400911at2759	GO:0005737	C	IBA
400911at2759	GO:0005829	C	RCA
400911at2759	GO:0006164	P	IBA
400911at2759	GO:0006189	P	IEA
400911at2759	GO:0006541	P	IEA
400911at2759	GO:0009113	P	IEA
400911at2759	GO:0009507	C	HDA
400911at2759	GO:0009532	C	IDA
400911at2759	GO:0009536	C	IEA
400911at2759	GO:0009570	C	HDA
400911at2759	GO:0009658	P	IMP
400911at2759	GO:0016740	F	IEA
400911at2759	GO:0016757	F	IEA
400911at2759	GO:0046872	F	IEA
400911at2759	GO:0051536	F	IEA
402681at2759	GO:0003755	F	IEA
402681at2759	GO:0016853	F	IEA
449508at2759	GO:0000935	C	IEA
449508at2759	GO:0005085	F	IEA
449508at2759	GO:0005938	C	IEA
449508at2759	GO:0009272	P	IEA
449508at2759	GO:0030428	C	IEA
449508at2759	GO:0030476	P	IEA
449508at2759	GO:0032153	C	IEA
449508at2759	GO:0035556	P	IEA
449508at2759	GO:0050790	P	IEA
449508at2759	GO:0051285	C	IEA
449508at2759	GO:0051286	C	IEA
449508at2759	GO:0051641	P	IEA
449508at2759	GO:0051666	P	IEA
449508at2759	GO:0060622	P	IEA
464614at2759	GO:0016020	C	IEA
464614at2759	GO:0016021	C	IEA
483185at2759	GO:0003700	F	IBA
483185at2759	GO:0005634	C	IBA
483185at2759	GO:0006355	P	IBA
483185at2759	GO:0043565	F	IBA
488201at2759	GO:0005886	C	IEA
488201at2759	GO:0016020	C	IEA
488201at2759	GO:0016021	C	IEA
488201at2759	GO:0022857	F	IEA
488201at2759	GO:0031919	P	IEA
488201at2759	GO:0031924	F	IEA
488201at2759	GO:0055085	P	IEA
566769at2759	GO:0000166	F	IEA
566769at2759	GO:0004639	F	IEA
566769at2759	GO:0005524	F	IEA
566769at2759	GO:0006164	P	IEA
566769at2759	GO:0006189	P	IEA
566769at2759	GO:0016874	F	IEA
608695at2759	GO:0000166	F	IEA
608695at2759	GO:0004672	F	IEA
608695at2759	GO:0004674	F	IEA
608695at2759	GO:0005524	F	IEA
608695at2759	GO:0006468	P	IEA
617388at2759	GO:0016874	F	IEA
618077at2759	GO:0003824	F	IEA
618077at2759	GO:0003938	F	IEA
618077at2759	GO:0006164	P	IEA
618077at2759	GO:0016491	F	IEA
621852at2759	GO:0006865	P	IEA
621852at2759	GO:0016020	C	IEA
621852at2759	GO:0016021	C	IEA
621852at2759	GO:0022857	F	IEA
621852at2759	GO:0055085	P	IEA
678727at2759	GO:0016020	C	IEA
678727at2759	GO:0016021	C	IEA
678727at2759	GO:0022857	F	IEA
678727at2759	GO:0055085	P	IEA
727365at2759	GO:0016491	F	IEA
737804at2759	GO:0002221	P	IEA
737804at2759	GO:0002224	P	IEA
737804at2759	GO:0002376	P	IEA
737804at2759	GO:0004888	F	IEA
737804at2759	GO:0005737	C	IEA
737804at2759	GO:0006954	P	IEA
737804at2759	GO:0006955	P	IEA
737804at2759	GO:0007165	P	IEA
737804at2759	GO:0009617	P	IEA
737804at2759	GO:0016021	C	IEA
737804at2759	GO:0045087	P	IEA
754103at2759	GO:0016787	F	IEA
785883at2759	GO:0006144	P	IEA
785883at2759	GO:0008168	F	IEA
785883at2759	GO:0016740	F	IEA
785883at2759	GO:0016787	F	IEA
785883at2759	GO:0032259	P	IEA
785883at2759	GO:0033971	F	IEA
792708at2759	GO:0004596	F	IBA
792708at2759	GO:0005737	C	IBA
792708at2759	GO:0005829	C	IEA
792708at2759	GO:0006474	P	IEA
792708at2759	GO:0016740	F	IEA
792708at2759	GO:0017196	P	IBA
792708at2759	GO:0031415	C	IBA
792708at2759	GO:0043022	F	IEA
792708at2759	GO:0043066	P	IEA
792708at2759	GO:0050821	P	IEA
812306at2759	GO:0005737	C	IEA
812306at2759	GO:0005768	C	IEA
812306at2759	GO:0005770	C	IEA
812306at2759	GO:0006886	P	IEA
812306at2759	GO:0031410	C	IEA
837213at2759	GO:0000209	P	IEA
837213at2759	GO:0008592	P	IEA
837213at2759	GO:0061630	F	IEA
870903at2759	GO:0005471	F	IEA
870903at2759	GO:0005739	C	IEA
870903at2759	GO:0005743	C	IEA
870903at2759	GO:0016020	C	IEA
870903at2759	GO:0016021	C	IEA
870903at2759	GO:0055085	P	IEA
870903at2759	GO:0071702	P	IEA
870903at2759	GO:0140021	P	IEA
870903at2759	GO:1990544	P	IEA
871849at2759	GO:0004497	F	IEA
